tag,date,cnt
flavor11,2015-01-12,0
flavor14,2015-01-12,0
flavor13,2015-01-12,0
flavor15,2015-01-12,0
flavor5,2015-01-13,12
flavor6,2015-01-13,1
flavor12,2015-01-13,8
flavor8,2015-01-13,4
flavor3,2015-01-13,0
flavor2,2015-01-13,0
flavor4,2015-01-13,0
flavor1,2015-01-13,0
flavor7,2015-01-13,0
flavor10,2015-01-13,0
flavor9,2015-01-13,0
flavor11,2015-01-13,0
flavor14,2015-01-13,0
flavor13,2015-01-13,0
flavor15,2015-01-13,0
flavor14,2015-01-14,6
flavor5,2015-01-14,2
flavor15,2015-01-14,7
flavor7,2015-01-14,1
flavor12,2015-01-14,1
flavor3,2015-01-14,0
flavor2,2015-01-14,0
flavor4,2015-01-14,0
flavor1,2015-01-14,0
flavor10,2015-01-14,0
flavor6,2015-01-14,0
flavor9,2015-01-14,0
flavor8,2015-01-14,0
flavor11,2015-01-14,0
flavor13,2015-01-14,0
flavor15,2015-01-15,14
flavor4,2015-01-15,1
flavor9,2015-01-15,1
flavor8,2015-01-15,2
flavor3,2015-01-15,0
flavor2,2015-01-15,0
flavor5,2015-01-15,0
flavor1,2015-01-15,0
flavor7,2015-01-15,0
flavor10,2015-01-15,0
flavor6,2015-01-15,0
flavor12,2015-01-15,0
flavor11,2015-01-15,0
flavor14,2015-01-15,0
flavor13,2015-01-15,0
flavor5,2015-01-16,1
flavor15,2015-01-16,4
flavor18,2015-01-16,1
flavor12,2015-01-16,5
flavor9,2015-01-16,6
flavor8,2015-01-16,3
flavor3,2015-01-16,0
flavor2,2015-01-16,0
flavor4,2015-01-16,0
flavor1,2015-01-16,0
flavor7,2015-01-16,0
flavor10,2015-01-16,0
flavor6,2015-01-16,0
flavor11,2015-01-16,0
flavor14,2015-01-16,0
flavor13,2015-01-16,0
flavor3,2015-01-17,0
flavor2,2015-01-17,0
flavor5,2015-01-17,0
flavor4,2015-01-17,0
flavor1,2015-01-17,0
flavor7,2015-01-17,0
flavor10,2015-01-17,0
flavor6,2015-01-17,0
flavor9,2015-01-17,0
flavor12,2015-01-17,0
flavor8,2015-01-17,0
flavor11,2015-01-17,0
flavor14,2015-01-17,0
flavor13,2015-01-17,0
flavor15,2015-01-17,0
flavor3,2015-01-18,0
flavor2,2015-01-18,0
flavor5,2015-01-18,0
flavor4,2015-01-18,0
flavor1,2015-01-18,0
flavor7,2015-01-18,0
flavor10,2015-01-18,0
flavor6,2015-01-18,0
flavor9,2015-01-18,0
flavor12,2015-01-18,0
flavor8,2015-01-18,0
flavor11,2015-01-18,0
flavor14,2015-01-18,0
flavor13,2015-01-18,0
flavor15,2015-01-18,0
flavor3,2015-01-19,1
flavor15,2015-01-19,1
flavor2,2015-01-19,0
flavor5,2015-01-19,0
flavor4,2015-01-19,0
flavor1,2015-01-19,0
flavor7,2015-01-19,0
flavor10,2015-01-19,0
flavor6,2015-01-19,0
flavor9,2015-01-19,0
flavor12,2015-01-19,0
flavor8,2015-01-19,0
flavor11,2015-01-19,0
flavor14,2015-01-19,0
flavor13,2015-01-19,0
flavor5,2015-01-20,3
flavor6,2015-01-20,3
flavor9,2015-01-20,1
flavor8,2015-01-20,4
flavor11,2015-01-20,5
flavor3,2015-01-20,0
flavor2,2015-01-20,0
flavor4,2015-01-20,0
flavor1,2015-01-20,0
flavor7,2015-01-20,0
flavor10,2015-01-20,0
flavor12,2015-01-20,0
flavor14,2015-01-20,0
flavor13,2015-01-20,0
flavor15,2015-01-20,0
flavor3,2015-01-21,0
flavor2,2015-01-21,0
flavor5,2015-01-21,0
flavor4,2015-01-21,0
flavor1,2015-01-21,0
flavor7,2015-01-21,0
flavor10,2015-01-21,0
flavor6,2015-01-21,0
flavor9,2015-01-21,0
flavor12,2015-01-21,0
flavor8,2015-01-21,0
flavor11,2015-01-21,0
flavor14,2015-01-21,0
flavor13,2015-01-21,0
flavor15,2015-01-21,0
flavor14,2015-01-22,1
flavor2,2015-01-22,2
flavor4,2015-01-22,1
flavor11,2015-01-22,2
flavor3,2015-01-22,0
flavor5,2015-01-22,0
flavor1,2015-01-22,0
flavor7,2015-01-22,0
flavor10,2015-01-22,0
flavor6,2015-01-22,0
flavor9,2015-01-22,0
flavor12,2015-01-22,0
flavor8,2015-01-22,0
flavor13,2015-01-22,0
flavor15,2015-01-22,0
flavor3,2015-01-23,1
flavor11,2015-01-23,3
flavor2,2015-01-23,0
flavor5,2015-01-23,0
flavor4,2015-01-23,0
flavor1,2015-01-23,0
flavor7,2015-01-23,0
flavor10,2015-01-23,0
flavor6,2015-01-23,0
flavor9,2015-01-23,0
flavor12,2015-01-23,0
flavor8,2015-01-23,0
flavor14,2015-01-23,0
flavor13,2015-01-23,0
flavor15,2015-01-23,0
flavor12,2015-01-24,1
flavor3,2015-01-24,0
flavor2,2015-01-24,0
flavor5,2015-01-24,0
flavor4,2015-01-24,0
flavor1,2015-01-24,0
flavor7,2015-01-24,0
flavor10,2015-01-24,0
flavor6,2015-01-24,0
flavor9,2015-01-24,0
flavor8,2015-01-24,0
flavor11,2015-01-24,0
flavor14,2015-01-24,0
flavor13,2015-01-24,0
flavor15,2015-01-24,0
flavor14,2015-01-25,8
flavor3,2015-01-25,0
flavor2,2015-01-25,0
flavor5,2015-01-25,0
flavor4,2015-01-25,0
flavor1,2015-01-25,0
flavor7,2015-01-25,0
flavor10,2015-01-25,0
flavor6,2015-01-25,0
flavor9,2015-01-25,0
flavor12,2015-01-25,0
flavor8,2015-01-25,0
flavor11,2015-01-25,0
flavor13,2015-01-25,0
flavor15,2015-01-25,0
flavor3,2015-01-26,0
flavor2,2015-01-26,0
flavor5,2015-01-26,0
flavor4,2015-01-26,0
flavor1,2015-01-26,0
flavor7,2015-01-26,0
flavor10,2015-01-26,0
flavor6,2015-01-26,0
flavor9,2015-01-26,0
flavor12,2015-01-26,0
flavor8,2015-01-26,0
flavor11,2015-01-26,0
flavor14,2015-01-26,0
flavor13,2015-01-26,0
flavor15,2015-01-26,0
flavor5,2015-01-27,1
flavor3,2015-01-27,0
flavor2,2015-01-27,0
flavor4,2015-01-27,0
flavor1,2015-01-27,0
flavor7,2015-01-27,0
flavor10,2015-01-27,0
flavor6,2015-01-27,0
flavor9,2015-01-27,0
flavor12,2015-01-27,0
flavor8,2015-01-27,0
flavor11,2015-01-27,0
flavor14,2015-01-27,0
flavor13,2015-01-27,0
flavor15,2015-01-27,0
flavor5,2015-01-28,1
flavor6,2015-01-28,1
flavor8,2015-01-28,1
flavor3,2015-01-28,0
flavor2,2015-01-28,0
flavor4,2015-01-28,0
flavor1,2015-01-28,0
flavor7,2015-01-28,0
flavor10,2015-01-28,0
flavor9,2015-01-28,0
flavor12,2015-01-28,0
flavor11,2015-01-28,0
flavor14,2015-01-28,0
flavor13,2015-01-28,0
flavor15,2015-01-28,0
flavor5,2015-01-29,1
flavor8,2015-01-29,3
flavor3,2015-01-29,0
flavor2,2015-01-29,0
flavor4,2015-01-29,0
flavor1,2015-01-29,0
flavor7,2015-01-29,0
flavor10,2015-01-29,0
flavor6,2015-01-29,0
flavor9,2015-01-29,0
flavor12,2015-01-29,0
flavor11,2015-01-29,0
flavor14,2015-01-29,0
flavor13,2015-01-29,0
flavor15,2015-01-29,0
flavor8,2015-01-30,2
flavor3,2015-01-30,0
flavor2,2015-01-30,0
flavor5,2015-01-30,0
flavor4,2015-01-30,0
flavor1,2015-01-30,0
flavor7,2015-01-30,0
flavor10,2015-01-30,0
flavor6,2015-01-30,0
flavor9,2015-01-30,0
flavor12,2015-01-30,0
flavor11,2015-01-30,0
flavor14,2015-01-30,0
flavor13,2015-01-30,0
flavor15,2015-01-30,0
flavor3,2015-01-31,0
flavor2,2015-01-31,0
flavor5,2015-01-31,0
flavor4,2015-01-31,0
flavor1,2015-01-31,0
flavor7,2015-01-31,0
flavor10,2015-01-31,0
flavor6,2015-01-31,0
flavor9,2015-01-31,0
flavor12,2015-01-31,0
flavor8,2015-01-31,0
flavor11,2015-01-31,0
flavor14,2015-01-31,0
flavor13,2015-01-31,0
flavor15,2015-01-31,0
flavor11,2015-02-01,5
flavor3,2015-02-01,0
flavor2,2015-02-01,0
flavor5,2015-02-01,0
flavor4,2015-02-01,0
flavor1,2015-02-01,0
flavor7,2015-02-01,0
flavor10,2015-02-01,0
flavor6,2015-02-01,0
flavor9,2015-02-01,0
flavor12,2015-02-01,0
flavor8,2015-02-01,0
flavor14,2015-02-01,0
flavor13,2015-02-01,0
flavor15,2015-02-01,0
flavor3,2015-02-02,1
flavor2,2015-02-02,1
flavor18,2015-02-02,2
flavor5,2015-02-02,0
flavor4,2015-02-02,0
flavor1,2015-02-02,0
flavor7,2015-02-02,0
flavor10,2015-02-02,0
flavor6,2015-02-02,0
flavor9,2015-02-02,0
flavor12,2015-02-02,0
flavor8,2015-02-02,0
flavor11,2015-02-02,0
flavor14,2015-02-02,0
flavor13,2015-02-02,0
flavor15,2015-02-02,0
flavor14,2015-02-03,2
flavor5,2015-02-03,3
flavor7,2015-02-03,1
flavor6,2015-02-03,6
flavor9,2015-02-03,1
flavor8,2015-02-03,1
flavor11,2015-02-03,2
flavor3,2015-02-03,0
flavor2,2015-02-03,0
flavor4,2015-02-03,0
flavor1,2015-02-03,0
flavor10,2015-02-03,0
flavor12,2015-02-03,0
flavor13,2015-02-03,0
flavor15,2015-02-03,0
flavor2,2015-02-04,1
flavor5,2015-02-04,1
flavor3,2015-02-04,0
flavor4,2015-02-04,0
flavor1,2015-02-04,0
flavor7,2015-02-04,0
flavor10,2015-02-04,0
flavor6,2015-02-04,0
flavor9,2015-02-04,0
flavor12,2015-02-04,0
flavor8,2015-02-04,0
flavor11,2015-02-04,0
flavor14,2015-02-04,0
flavor13,2015-02-04,0
flavor15,2015-02-04,0
flavor14,2015-02-05,2
flavor3,2015-02-05,2
flavor6,2015-02-05,2
flavor11,2015-02-05,7
flavor8,2015-02-05,11
flavor22,2015-02-05,1
flavor2,2015-02-05,0
flavor5,2015-02-05,0
flavor4,2015-02-05,0
flavor1,2015-02-05,0
flavor7,2015-02-05,0
flavor10,2015-02-05,0
flavor9,2015-02-05,0
flavor12,2015-02-05,0
flavor13,2015-02-05,0
flavor15,2015-02-05,0
flavor14,2015-02-06,4
flavor5,2015-02-06,3
flavor4,2015-02-06,1
flavor8,2015-02-06,1
flavor3,2015-02-06,0
flavor2,2015-02-06,0
flavor1,2015-02-06,0
flavor7,2015-02-06,0
flavor10,2015-02-06,0
flavor6,2015-02-06,0
flavor9,2015-02-06,0
flavor12,2015-02-06,0
flavor11,2015-02-06,0
flavor13,2015-02-06,0
flavor15,2015-02-06,0
flavor3,2015-02-07,0
flavor2,2015-02-07,0
flavor5,2015-02-07,0
flavor4,2015-02-07,0
flavor1,2015-02-07,0
flavor7,2015-02-07,0
flavor10,2015-02-07,0
flavor6,2015-02-07,0
flavor9,2015-02-07,0
flavor12,2015-02-07,0
flavor8,2015-02-07,0
flavor11,2015-02-07,0
flavor14,2015-02-07,0
flavor13,2015-02-07,0
flavor15,2015-02-07,0
flavor5,2015-02-08,1
flavor15,2015-02-08,1
flavor12,2015-02-08,1
flavor8,2015-02-08,1
flavor3,2015-02-08,0
flavor2,2015-02-08,0
flavor4,2015-02-08,0
flavor1,2015-02-08,0
flavor7,2015-02-08,0
flavor10,2015-02-08,0
flavor6,2015-02-08,0
flavor9,2015-02-08,0
flavor11,2015-02-08,0
flavor14,2015-02-08,0
flavor13,2015-02-08,0
flavor18,2015-02-09,1
flavor9,2015-02-09,3
flavor12,2015-02-09,6
flavor3,2015-02-09,0
flavor2,2015-02-09,0
flavor5,2015-02-09,0
flavor4,2015-02-09,0
flavor1,2015-02-09,0
flavor7,2015-02-09,0
flavor10,2015-02-09,0
flavor6,2015-02-09,0
flavor8,2015-02-09,0
flavor11,2015-02-09,0
flavor14,2015-02-09,0
flavor13,2015-02-09,0
flavor15,2015-02-09,0
flavor2,2015-02-10,2
flavor1,2015-02-10,2
flavor9,2015-02-10,2
flavor8,2015-02-10,3
flavor3,2015-02-10,0
flavor5,2015-02-10,0
flavor4,2015-02-10,0
flavor7,2015-02-10,0
flavor10,2015-02-10,0
flavor6,2015-02-10,0
flavor12,2015-02-10,0
flavor11,2015-02-10,0
flavor14,2015-02-10,0
flavor13,2015-02-10,0
flavor15,2015-02-10,0
flavor13,2015-02-11,1
flavor9,2015-02-11,1
flavor11,2015-02-11,2
flavor22,2015-02-11,6
flavor3,2015-02-11,0
flavor2,2015-02-11,0
flavor5,2015-02-11,0
flavor4,2015-02-11,0
flavor1,2015-02-11,0
flavor7,2015-02-11,0
flavor10,2015-02-11,0
flavor6,2015-02-11,0
flavor12,2015-02-11,0
flavor8,2015-02-11,0
flavor14,2015-02-11,0
flavor15,2015-02-11,0
flavor3,2015-02-12,1
flavor2,2015-02-12,2
flavor7,2015-02-12,4
flavor12,2015-02-12,2
flavor11,2015-02-12,1
flavor8,2015-02-12,7
flavor5,2015-02-12,0
flavor4,2015-02-12,0
flavor1,2015-02-12,0
flavor10,2015-02-12,0
flavor6,2015-02-12,0
flavor9,2015-02-12,0
flavor14,2015-02-12,0
flavor13,2015-02-12,0
flavor15,2015-02-12,0
flavor5,2015-02-13,1
flavor7,2015-02-13,8
flavor9,2015-02-13,2
flavor11,2015-02-13,2
flavor3,2015-02-13,0
flavor2,2015-02-13,0
flavor4,2015-02-13,0
flavor1,2015-02-13,0
flavor10,2015-02-13,0
flavor6,2015-02-13,0
flavor12,2015-02-13,0
flavor8,2015-02-13,0
flavor14,2015-02-13,0
flavor13,2015-02-13,0
flavor15,2015-02-13,0
flavor5,2015-02-14,2
flavor6,2015-02-14,3
flavor9,2015-02-14,1
flavor3,2015-02-14,0
flavor2,2015-02-14,0
flavor4,2015-02-14,0
flavor1,2015-02-14,0
flavor7,2015-02-14,0
flavor10,2015-02-14,0
flavor12,2015-02-14,0
flavor8,2015-02-14,0
flavor11,2015-02-14,0
flavor14,2015-02-14,0
flavor13,2015-02-14,0
flavor15,2015-02-14,0
flavor1,2015-02-15,1
flavor3,2015-02-15,0
flavor2,2015-02-15,0
flavor5,2015-02-15,0
flavor4,2015-02-15,0
flavor7,2015-02-15,0
flavor10,2015-02-15,0
flavor6,2015-02-15,0
flavor9,2015-02-15,0
flavor12,2015-02-15,0
flavor8,2015-02-15,0
flavor11,2015-02-15,0
flavor14,2015-02-15,0
flavor13,2015-02-15,0
flavor15,2015-02-15,0
flavor3,2015-02-16,1
flavor7,2015-02-16,1
flavor11,2015-02-16,1
flavor8,2015-02-16,1
flavor2,2015-02-16,0
flavor5,2015-02-16,0
flavor4,2015-02-16,0
flavor1,2015-02-16,0
flavor10,2015-02-16,0
flavor6,2015-02-16,0
flavor9,2015-02-16,0
flavor12,2015-02-16,0
flavor14,2015-02-16,0
flavor13,2015-02-16,0
flavor15,2015-02-16,0
flavor7,2015-02-17,2
flavor10,2015-02-17,3
flavor12,2015-02-17,1
flavor9,2015-02-17,3
flavor11,2015-02-17,1
flavor3,2015-02-17,0
flavor2,2015-02-17,0
flavor5,2015-02-17,0
flavor4,2015-02-17,0
flavor1,2015-02-17,0
flavor6,2015-02-17,0
flavor8,2015-02-17,0
flavor14,2015-02-17,0
flavor13,2015-02-17,0
flavor15,2015-02-17,0
flavor10,2015-02-18,1
flavor9,2015-02-18,1
flavor8,2015-02-18,27
flavor3,2015-02-18,0
flavor2,2015-02-18,0
flavor5,2015-02-18,0
flavor4,2015-02-18,0
flavor1,2015-02-18,0
flavor7,2015-02-18,0
flavor6,2015-02-18,0
flavor12,2015-02-18,0
flavor11,2015-02-18,0
flavor14,2015-02-18,0
flavor13,2015-02-18,0
flavor15,2015-02-18,0
flavor2,2015-02-19,2
flavor9,2015-02-19,1
flavor3,2015-02-19,0
flavor5,2015-02-19,0
flavor4,2015-02-19,0
flavor1,2015-02-19,0
flavor7,2015-02-19,0
flavor10,2015-02-19,0
flavor6,2015-02-19,0
flavor12,2015-02-19,0
flavor8,2015-02-19,0
flavor11,2015-02-19,0
flavor14,2015-02-19,0
flavor13,2015-02-19,0
flavor15,2015-02-19,0
flavor3,2015-02-20,1
flavor14,2015-02-20,7
flavor15,2015-02-20,2
flavor17,2015-02-20,3
flavor7,2015-02-20,1
flavor9,2015-02-20,1
flavor12,2015-02-20,1
flavor11,2015-02-20,4
flavor8,2015-02-20,2
flavor2,2015-02-20,0
flavor5,2015-02-20,0
flavor4,2015-02-20,0
flavor1,2015-02-20,0
flavor10,2015-02-20,0
flavor6,2015-02-20,0
flavor13,2015-02-20,0
flavor3,2015-02-21,1
flavor9,2015-02-21,2
flavor2,2015-02-21,0
flavor5,2015-02-21,0
flavor4,2015-02-21,0
flavor1,2015-02-21,0
flavor7,2015-02-21,0
flavor10,2015-02-21,0
flavor6,2015-02-21,0
flavor12,2015-02-21,0
flavor8,2015-02-21,0
flavor11,2015-02-21,0
flavor14,2015-02-21,0
flavor13,2015-02-21,0
flavor15,2015-02-21,0
flavor3,2015-02-22,1
flavor2,2015-02-22,0
flavor5,2015-02-22,0
flavor4,2015-02-22,0
flavor1,2015-02-22,0
flavor7,2015-02-22,0
flavor10,2015-02-22,0
flavor6,2015-02-22,0
flavor9,2015-02-22,0
flavor12,2015-02-22,0
flavor8,2015-02-22,0
flavor11,2015-02-22,0
flavor14,2015-02-22,0
flavor13,2015-02-22,0
flavor15,2015-02-22,0
flavor9,2015-02-23,5
flavor11,2015-02-23,1
flavor3,2015-02-23,0
flavor2,2015-02-23,0
flavor5,2015-02-23,0
flavor4,2015-02-23,0
flavor1,2015-02-23,0
flavor7,2015-02-23,0
flavor10,2015-02-23,0
flavor6,2015-02-23,0
flavor12,2015-02-23,0
flavor8,2015-02-23,0
flavor14,2015-02-23,0
flavor13,2015-02-23,0
flavor15,2015-02-23,0
flavor2,2015-02-24,3
flavor5,2015-02-24,1
flavor7,2015-02-24,1
flavor10,2015-02-24,2
flavor9,2015-02-24,1
flavor8,2015-02-24,2
flavor3,2015-02-24,0
flavor4,2015-02-24,0
flavor1,2015-02-24,0
flavor6,2015-02-24,0
flavor12,2015-02-24,0
flavor11,2015-02-24,0
flavor14,2015-02-24,0
flavor13,2015-02-24,0
flavor15,2015-02-24,0
flavor5,2015-02-25,1
flavor8,2015-02-25,2
flavor3,2015-02-25,0
flavor2,2015-02-25,0
flavor4,2015-02-25,0
flavor1,2015-02-25,0
flavor7,2015-02-25,0
flavor10,2015-02-25,0
flavor6,2015-02-25,0
flavor9,2015-02-25,0
flavor12,2015-02-25,0
flavor11,2015-02-25,0
flavor14,2015-02-25,0
flavor13,2015-02-25,0
flavor15,2015-02-25,0
flavor2,2015-02-26,10
flavor9,2015-02-26,6
flavor3,2015-02-26,0
flavor5,2015-02-26,0
flavor4,2015-02-26,0
flavor1,2015-02-26,0
flavor7,2015-02-26,0
flavor10,2015-02-26,0
flavor6,2015-02-26,0
flavor12,2015-02-26,0
flavor8,2015-02-26,0
flavor11,2015-02-26,0
flavor14,2015-02-26,0
flavor13,2015-02-26,0
flavor15,2015-02-26,0
flavor3,2015-02-27,1
flavor5,2015-02-27,12
flavor1,2015-02-27,2
flavor10,2015-02-27,2
flavor6,2015-02-27,5
flavor9,2015-02-27,10
flavor8,2015-02-27,2
flavor2,2015-02-27,0
flavor4,2015-02-27,0
flavor7,2015-02-27,0
flavor12,2015-02-27,0
flavor11,2015-02-27,0
flavor14,2015-02-27,0
flavor13,2015-02-27,0
flavor15,2015-02-27,0
flavor8,2015-02-28,7
flavor3,2015-02-28,0
flavor2,2015-02-28,0
flavor5,2015-02-28,0
flavor4,2015-02-28,0
flavor1,2015-02-28,0
flavor7,2015-02-28,0
flavor10,2015-02-28,0
flavor6,2015-02-28,0
flavor9,2015-02-28,0
flavor12,2015-02-28,0
flavor11,2015-02-28,0
flavor14,2015-02-28,0
flavor13,2015-02-28,0
flavor15,2015-02-28,0
flavor14,2015-03-01,2
flavor5,2015-03-01,21
flavor15,2015-03-01,3
flavor7,2015-03-01,5
flavor6,2015-03-01,6
flavor9,2015-03-01,6
flavor8,2015-03-01,17
flavor3,2015-03-01,0
flavor2,2015-03-01,0
flavor4,2015-03-01,0
flavor1,2015-03-01,0
flavor10,2015-03-01,0
flavor12,2015-03-01,0
flavor11,2015-03-01,0
flavor13,2015-03-01,0
flavor1,2015-03-02,1
flavor6,2015-03-02,1
flavor9,2015-03-02,1
flavor3,2015-03-02,0
flavor2,2015-03-02,0
flavor5,2015-03-02,0
flavor4,2015-03-02,0
flavor7,2015-03-02,0
flavor10,2015-03-02,0
flavor12,2015-03-02,0
flavor8,2015-03-02,0
flavor11,2015-03-02,0
flavor14,2015-03-02,0
flavor13,2015-03-02,0
flavor15,2015-03-02,0
flavor6,2015-03-03,1
flavor11,2015-03-03,1
flavor8,2015-03-03,2
flavor3,2015-03-03,0
flavor2,2015-03-03,0
flavor5,2015-03-03,0
flavor4,2015-03-03,0
flavor1,2015-03-03,0
flavor7,2015-03-03,0
flavor10,2015-03-03,0
flavor9,2015-03-03,0
flavor12,2015-03-03,0
flavor14,2015-03-03,0
flavor13,2015-03-03,0
flavor15,2015-03-03,0
flavor5,2015-03-04,2
flavor9,2015-03-04,2
flavor8,2015-03-04,1
flavor3,2015-03-04,0
flavor2,2015-03-04,0
flavor4,2015-03-04,0
flavor1,2015-03-04,0
flavor7,2015-03-04,0
flavor10,2015-03-04,0
flavor6,2015-03-04,0
flavor12,2015-03-04,0
flavor11,2015-03-04,0
flavor14,2015-03-04,0
flavor13,2015-03-04,0
flavor15,2015-03-04,0
flavor7,2015-03-05,1
flavor11,2015-03-05,1
flavor3,2015-03-05,0
flavor2,2015-03-05,0
flavor5,2015-03-05,0
flavor4,2015-03-05,0
flavor1,2015-03-05,0
flavor10,2015-03-05,0
flavor6,2015-03-05,0
flavor9,2015-03-05,0
flavor12,2015-03-05,0
flavor8,2015-03-05,0
flavor14,2015-03-05,0
flavor13,2015-03-05,0
flavor15,2015-03-05,0
flavor3,2015-03-06,0
flavor2,2015-03-06,0
flavor5,2015-03-06,0
flavor4,2015-03-06,0
flavor1,2015-03-06,0
flavor7,2015-03-06,0
flavor10,2015-03-06,0
flavor6,2015-03-06,0
flavor9,2015-03-06,0
flavor12,2015-03-06,0
flavor8,2015-03-06,0
flavor11,2015-03-06,0
flavor14,2015-03-06,0
flavor13,2015-03-06,0
flavor15,2015-03-06,0
flavor3,2015-03-07,0
flavor2,2015-03-07,0
flavor5,2015-03-07,0
flavor4,2015-03-07,0
flavor1,2015-03-07,0
flavor7,2015-03-07,0
flavor10,2015-03-07,0
flavor6,2015-03-07,0
flavor9,2015-03-07,0
flavor12,2015-03-07,0
flavor8,2015-03-07,0
flavor11,2015-03-07,0
flavor14,2015-03-07,0
flavor13,2015-03-07,0
